Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2131435,02-Oct-21,Alabama,Auburn,1330 Shug Jordan Pkwy,1,0,N/A
2130050,01-Oct-21,Tennessee,Columbia,1200 block of Double Branch Rd,3,0,N/A
2128369,28-Sep-21,Wisconsin,Madison (Fitchburg),5100 block of Curry Ct,1,0,N/A
2127071,27-Sep-21,Illinois,Markham,W 157th St and Homan Ave,1,0,N/A
2126825,27-Sep-21,Arizona,Phoenix,4437 S 8th Place,1,1,N/A
2126212,26-Sep-21,Virginia,Norfolk,200 block of W Balview Ave,3,0,N/A
2123099,22-Sep-21,Texas,Waco,1725 N Martin Luther King Blvd,1,0,N/A
2122606,20-Sep-21,South Dakota,Rapid City,840 N Spruce St,2,0,N/A
2118593,17-Sep-21,Kansas,Lawrence,1500 block of Wedgewood Dr,1,0,N/A
2117926,15-Sep-21,Arkansas,Little Rock,1800 block of Nichols Rd,2,0,N/A
2113166,10-Sep-21,Georgia,Macon,3401 Houston Ave,1,0,N/A
2117048,09-Sep-21,Illinois,Polo,300 block of Franklin Rd,1,0,N/A
2110143,07-Sep-21,Ohio,Avon Lake,32558 English Turn,4,0,N/A
2110670,07-Sep-21,North Carolina,Charlotte,2419 Richard Rozzelle Dr,1,1,N/A
2108414,05-Sep-21,Texas,Houston,7518 Imogene St,4,0,N/A
2108302,05-Sep-21,Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2,N/A
2110599,05-Sep-21,Illinois,East Saint Louis,1328 N 44th St,1,0,N/A
2107489,03-Sep-21,Illinois,Chicago,6500 block of S Ellis Ave,1,0,N/A
2107882,03-Sep-21,North Carolina,Winston Salem (Winston-salem),100 Block of Martindale Rd,1,0,N/A
2106351,01-Sep-21,Michigan,Lowell,11000 block of Barnsley Rd,2,0,N/A
2105787,01-Sep-21,Kentucky,Louisville,5504 Ailanthus Trail,1,0,N/A
2107176,01-Sep-21,Michigan,Roseville,20000 block of Twelve Mile Rd,1,0,N/A
2104404,29-Aug-21,New Jersey,Newark,100 block Schuyler Ave,1,0,N/A
2101258,27-Aug-21,Indiana,Elkhart,500 block of W High St,2,0,N/A
2101870,27-Aug-21,Tennessee,Memphis,3513 Boxtown Rd,1,0,N/A
2101524,27-Aug-21,Tennessee,Memphis,1300 block of Timothy Dr,1,0,N/A
2102082,27-Aug-21,Pennsylvania,Sharon Hill,300 Calcon Hook Rd,1,4,N/A
2101044,26-Aug-21,Mississippi,Canton,Franklin St and Canal St,2,1,N/A
2099265,24-Aug-21,Maryland,Hyattsville (Landover),1600 block of Brightseat Rd,1,0,N/A
2099712,24-Aug-21,New Mexico,Clovis,1051 NM-311,1,0,N/A
2100249,24-Aug-21,Louisiana,Arcadia,N/A,1,0,N/A
2098065,23-Aug-21,West Virginia,Charleston,3006 Elkdale Dr,3,1,N/A
2098732,23-Aug-21,Georgia,Albany,2500 block of Hilltop Dr,1,0,N/A
2097864,22-Aug-21,Florida,Tampa,Hillsborough Ave and N 43rd St,1,0,N/A
2096154,20-Aug-21,Ohio,Toledo,300 block of Austin St,1,1,N/A
2094071,18-Aug-21,Ohio,Youngstown,619 Samuel Ave,2,4,N/A
